dataset_name,OS-CNN,STC,ROCKET,TS-CHIEF,Encoder,FCN,FCN(16),FCN(50),FCN(100),FCN(150),FCN(200),ResNet,MLP,MCNN,t-LeNet,MCDCNN,Time-CNN,TWIESN,1-NN DTW CV,1-NN DTW,LS,TSBF,EE(PROP),PF,ST,BOSS,WEASEL,Flat-COTE,HIVE-COTE,Inception,InceptionTime,OS-CNN-ENS(2),OS-CNN-ENS(3),OS-CNN-ENS(4),OS-CNN-ENS(5),OS-CNN-ENS(6),OS-CNN-ENS(7),OS-CNN-ENS(8),OS-CNN-RES(2),OS-CNN-RES(3),UOS-CNN
Computers,70.67999999999999(2.6475649189396644),79.90666667,76.12,70.51,63.0(1.0770329614269016),81.89999999999999(0.7141428428542821),81.89999999999999(0.7141428428542821),76,67.2,54.4,58.8,80.90000000000002(0.5196152422706637),56.10000000000001(0.5916079783099574),52.2(4.8),50.0(0.0),59.0(1.536229149573723),53.800000000000004(1.8000000000000016),64.8(1.9390719429665304),62,70,58.4,75.6,70.8,61.68,73.6,75.6,65.6,74,76,78.56(1.6316862443496911),79.6(0.0),72.28,73.52,72.64,72.36,71.84,72.44,72.16,80,72.8,74.8
CricketX,85.51282051282051(1.1366236030411032),79.20512821,81.948718,81.38,64.42307692307692(0.8382497968347455),79.67948717948718(0.4203486233526955),79.67948717948718(0.4203486233526955),81.53846154,81.79487179,78.20512821,80.25641026,79.61538461538463(1.3137116366614876),59.23076923076923(0.9421114395319883),18.9(23.8),7.435897435897436(0.0),54.487179487179496(4.829438000471115),53.14102564102564(0.8951435925492879),62.628205128205124(2.6172379054607164),77.2,75.4,79.08,70.51282051,81.28205128,77.974359,77.17948718,73.5897436,76.41,80.7692308,82.3076923,84.05128205128204(1.3702963298346051),85.3846154(0.0),85.92307692,86.61538462,86.58974359,86.71794872,86.71794872,86.61538462,86.71794872,85.897,84.872,86.41025641
CricketY,86.71794871794873(1.0307564739611177),77.79487179,85.230769,80.19,63.46153846153846(0.8209133637734431),79.61538461538463(1.2094847605200785),79.61538461538463(1.2094847605200785),82.30769231,85.12820513,84.87179487,81.02564103,80.7051282051282(1.2077848513728693),59.93589743589743(0.9658025111102168),18.4(22.0),8.461538461538462(0.0),51.98717948717949(3.019632234183047),58.269230769230774(0.8184067522310076),65.0(2.1794871794871806),76.2,74.4,75.13,73.58974359,80.51282051,78.4615385,77.94871795,75.3846154,78.974,82.5641026,84.8717949,83.89743589743588(0.8173014077184222),85.1282051(0.0),87.33333333,87.02564103,87.41025641,86.79487179,87.17948718,86.8974359,87.28205128,87.692,84.359,87.94871795
CricketZ,86.30769230769232(0.7087320492864253),80.71794872,85.589744,83.4,65.44871794871794(2.4950641610293034),81.02564102564102(0.7903094875601223),81.02564102564102(0.7903094875601223),80.25641026,78.20512821,81.28205128,84.35897436,81.08974358974359(0.7336873809140743),62.88461538461539(0.8576338564268978),18.3(24.4),6.153846153846153(0.0),48.33333333333333(2.926336464234183),49.679487179487175(2.540759125975182),64.03846153846155(1.5948532441826566),74.6,75.4,79.95,71.53846154,78.20512821,79.5128205,78.71794872,74.6153846,78.718,81.5384615,83.0769231,84.92307692307692(0.8941331166237246),86.1538462(0.0),87.05128205,87.66666667,87.92307692,87.76923077,87.71794872,87.94871795,87.94871795,85.897,85.385,87.94871795
DiatomSizeReduction,97.71241830065358(0.7452126961432268),85.92592593,96.993464,97.3,87.90849673202614(0.5167120359752235),35.78431372549019(9.905519324331816),35.78431372549019(9.905519324331816),30.06535948,67.97385621,35.94771242,73.20261438,30.065359477124183(0.0),90.19607843137256(2.2758804374483765),30.1(0.7),30.065359477124183(0.0),56.69934640522876(26.654028307160853),95.34313725490196(0.744316468884341),91.01307189542484(2.787372893665356),93.5,96.7,96.67,89.86928105,94.44444444,96.4379085,92.48366013,93.1372549,88.562,92.8104575,94.1176471,93.4640522875817(0.969437710731458),93.4640523(0.0),97.81045752,97.97385621,97.87581699,97.81045752,97.90849673,98.00653595,98.03921569,99.673,97.712,99.34640523
DistalPhalanxOutlineAgeGroup,73.81294964028777(2.9697507108705454),79.61630695,75.899281,74.62,76.79856115107914(1.6385671904935821),71.58273381294964(0.8043409991006463),71.58273381294964(0.8043409991006463),69.0647482,71.22302158,71.22302158,71.22302158,70.68345323741008(1.6385671904935777),64.92805755395683(0.9345597882565924),46.8(0.0),42.44604316546763(0.0),73.92086330935253(1.8604461210051482),76.07913669064749(0.7839746301332156),70.14388489208633(2.3032820997959886),62.6,77,77.89855072,78.26086957,72.82608696,73.2374101,77.53623188,74.8201439,76.978,76.0869565,76.2589928,73.38129496402877(2.0348396580907875),73.38129500000001(0.0),74.02877698,75.53956835,75.32374101,74.5323741,74.67625899,75.03597122,74.82014388,74.101,76.259,76.97841727
DistalPhalanxOutlineCorrect,76.5942028985507(0.7282518566029615),82.7294686,76.956522,78.23,72.73550724637681(1.2648768155587793),76.44927536231884(0.9237354191291264),76.44927536231884(0.9237354191291264),78.26086957,72.46376812,76.44927536,74.63768116,76.9927536231884(0.9755733346258203),72.55434782608695(0.5358767919474356),58.3(0.0),58.333333333333336(0.0),76.44927536231884(0.9237354191291274),77.53623188405797(1.934253306527411),70.47101449275362(2.5426936318148914),72.5,71.7,71.94244604,71.22302158,69.0647482,76.2318841,76.97841727,72.826087,77.899,74.8201439,77.173913,76.81159420289855(0.8262140761587945),78.26086959999999(0.0),76.88405797,77.17391304,76.44927536,76.92028986,76.92028986,77.17391304,77.06521739,73.913,80.435,77.89855072
DistalPhalanxTW,66.40287769784173(1.6733386114551094),68.99280576,71.870504,67.04,69.96402877697841(0.7839746301332156),69.06474820143885(1.1375099497008523),69.06474820143885(1.1375099497008523),61.8705036,66.90647482,66.90647482,61.8705036,66.54676258992805(1.8691195765131798),60.97122302158273(2.3519238903996404),30.2(0.0),28.597122302158272(0.9345597882565899),68.5251798561151(0.9345597882565924),67.44604316546763(0.934559788256588),60.431654676258994(2.691839846599959),63.3,59,62.58992806,67.62589928,64.74820144,66.1870504,66.18705036,67.6258993,67.626,69.7841727,68.3453237,66.47482014388488(2.11466740384159),68.34532370000001(0.0),66.18705036,66.11510791,66.33093525,66.04316547,65.97122302,65.32374101,65.97122302,63.309,66.906,64.02877698
Earthquakes,66.97841726618705(4.978604396200273),74.19664269,74.820144,86.18,74.10071942446042(0.7194244604316558),72.66187050359711(0.8811114182673293),72.66187050359711(0.8811114182673293),73.38129496,74.82014388,74.10071942,74.10071942,71.76258992805755(1.6385671904935777),72.4820143884892(1.1793954180399302),74.8(0.0),74.82014388489209(0.0),74.82014388489209(0.0),70.68345323741008(0.7839746301332174),74.82014388489209(0.0),72.7,71.9,74.10071942,74.82014388,74.10071942,75.323741,74.10071942,74.8201439,74.82,74.8201439,74.8201439,74.24460431654676(0.9544244001022717),74.1007194(0.0),68.56115108,68.63309353,69.0647482,68.41726619,68.84892086,68.63309353,69.20863309,71.223,69.784,74.10071942
ECG200,90.8(1.2489995996796808),83.9,90.6,94.54,88.0(0.7071067811865481),88.5(0.5000000000000004),88.5(0.5000000000000004),92,88,91,88,87.0(1.5811388300841909),91.5(0.8660254037844395),64.0(0.0),64.0(0.0),84.25(3.5619517121937507),81.25(1.089724735885165),87.0(1.5811388300841909),88,77,87.4,84,88,89.7,83,87,85,88,85,91.8(1.3266499161421574),93.0(0.0),90.7,91.4,91.2,91,91.7,91.4,91.2,90,90,90
